month,fiscal_year,Gross_sales_Amount
"September (2019)",2020,9092670.34
"October (2019)",2020,10378637.60
"November (2019)",2020,15231894.97
"December (2019)",2020,9755795.06
"January (2020)",2020,9584951.94
"February (2020)",2020,8083995.55
"March (2020)",2020,766976.45
"April (2020)",2020,800071.95
"May (2020)",2020,1586964.48
"June (2020)",2020,3429736.57
"July (2020)",2020,5151815.40
"August (2020)",2020,5638281.83
"September (2020)",2021,19530271.30
"October (2020)",2021,21016218.21
"November (2020)",2021,32247289.79
"December (2020)",2021,20409063.18
"January (2021)",2021,19570701.71
"February (2021)",2021,15986603.89
"March (2021)",2021,19149624.92
"April (2021)",2021,11483530.30
"May (2021)",2021,19204309.41
"June (2021)",2021,15457579.66
"July (2021)",2021,19044968.82
"August (2021)",2021,11324548.34
